X_Value	Voltage_0	Voltage_1	Voltage_2	Voltage_3
0,000000	7,582841	0,007674	0,025012	0,002543
0,005000	7,582841	2,934925E-5	0,022465	-0,002553
0,010000	7,582841	0,012771	0,002081	0,010187
0,015000	7,587938	2,934925E-5	0,032656	-0,002553
0,020000	7,577743	0,007674	-0,003014	0,002543
0,025000	7,590487	2,934925E-5	0,017369	0,002543
0,030000	7,582841	0,007674	0,009725	0,002543
0,035000	7,582841	0,007674	0,007177	-4,725590E-6
0,040000	7,582841	0,007674	0,009725	0,002543
0,045000	7,587938	2,934925E-5	0,022465	-0,005101
0,050000	7,582841	0,005126	0,004629	0,002543
0,055000	7,580292	0,007674	0,017369	0,002543
0,060000	7,582841	0,005126	0,014821	0,002543
0,065000	7,575194	0,012771	0,012273	0,010187
0,070000	7,587938	0,002578	0,012273	-0,005101
0,075000	7,575194	0,015319	0,012273	0,007639
0,080000	7,587938	0,002578	0,019917	-0,005101
0,085000	7,582841	0,007674	0,025012	0,002543
0,090000	7,590487	0,002578	0,017369	-0,005101
0,095000	7,582841	0,007674	0,017369	0,002543
0,100000	7,582841	0,007674	0,017369	-4,725590E-6
0,105000	7,582841	0,007674	0,007177	-4,725590E-6
0,110000	7,582841	0,007674	0,009725	0,005091
0,115000	7,575194	0,005126	0,009725	0,002543
0,120000	7,587938	0,007674	0,019917	0,005091
0,125000	7,580292	0,007674	0,022465	0,012736
0,130000	7,582841	0,007674	0,017369	0,002543
0,135000	7,587938	0,007674	0,007177	-4,725590E-6
0,140000	7,580292	0,007674	0,009725	0,002543
0,145000	7,582841	0,007674	0,007177	0,002543
0,150000	7,577743	0,012771	-0,005562	0,010187
0,155000	7,582841	0,007674	0,025012	0,002543
0,160000	7,582841	0,007674	0,027560	-4,725590E-6
0,165000	7,580292	0,007674	0,004629	-4,725590E-6
0,170000	7,582841	0,007674	0,009725	0,002543
0,175000	7,582841	0,012771	0,012273	0,007639
0,180000	7,582841	0,002578	0,009725	-0,005101
0,185000	7,582841	0,007674	0,012273	-4,725590E-6
0,190000	7,582841	2,934925E-5	0,030108	-0,002553
0,195000	7,582841	0,007674	-0,005562	0,002543
0,200000	7,587938	2,934925E-5	0,014821	-0,005101
0,205000	7,582841	0,012771	0,002081	0,010187
0,210000	7,582841	0,007674	0,009725	-0,002553
0,215000	7,582841	0,005126	0,012273	0,002543
0,220000	7,582841	0,005126	0,017369	0,002543
0,225000	7,577743	0,010223	0,012273	0,010187
0,230000	7,590487	0,002578	0,012273	-0,002553
0,235000	7,577743	0,012771	0,014821	0,002543
0,240000	7,582841	0,007674	0,017369	0,002543
0,245000	7,590487	0,002578	0,007177	-0,007649
0,250000	7,577743	0,012771	0,014821	0,007639
0,255000	7,587938	0,007674	0,019917	0,007639
0,260000	7,580292	2,934925E-5	0,007177	-0,005101
0,265000	7,577743	0,012771	0,019917	0,007639
0,270000	7,577743	0,012771	0,014821	0,007639
0,275000	7,575194	0,012771	0,004629	0,010187
0,280000	7,582841	0,005126	0,019917	-4,725590E-6
0,285000	7,590487	0,002578	0,025012	-0,002553
0,290000	7,582841	0,007674	0,009725	0,005091
0,295000	7,582841	0,005126	0,025012	-4,725590E-6
0,300000	7,590487	2,934925E-5	0,027560	-0,005101
0,305000	7,575194	0,012771	-0,003014	0,010187
0,310000	7,587938	2,934925E-5	0,032656	-0,005101
0,315000	7,582841	0,005126	0,027560	0,005091
0,320000	7,587938	0,005126	-0,000466	0,002543
0,325000	7,580292	2,934925E-5	0,014821	-0,005101
0,330000	7,582841	0,007674	0,014821	0,007639
0,335000	7,587938	2,934925E-5	0,030108	-0,005101
0,340000	7,575194	0,007674	0,019917	0,002543
0,345000	7,585389	0,007674	0,007177	-4,725590E-6
0,350000	7,582841	2,934925E-5	0,014821	-0,005101
0,355000	7,577743	0,012771	0,004629	0,007639
0,360000	7,590487	0,002578	0,022465	-0,002553
0,365000	7,575194	0,012771	0,009725	0,010187
0,370000	7,590487	0,002578	0,022465	-0,005101
0,375000	7,585389	0,005126	0,025012	0,002543
0,380000	7,587938	0,002578	0,019917	-0,002553
0,385000	7,577743	0,012771	0,009725	0,007639
0,390000	7,582841	0,007674	-0,000466	0,005091
0,395000	7,582841	0,007674	0,017369	-4,725590E-6
0,400000	7,582841	0,007674	0,009725	0,002543
0,405000	7,585389	0,007674	0,025012	0,005091
0,410000	7,580292	0,007674	0,019917	0,002543
0,415000	7,582841	0,007674	0,002081	-4,725590E-6
0,420000	7,587938	-0,002519	0,017369	-0,005101
0,425000	7,575194	0,012771	0,019917	0,007639
0,430000	7,582841	0,007674	0,030108	-4,725590E-6
0,435000	7,582841	0,007674	0,007177	0,007639
0,440000	7,582841	2,934925E-5	0,012273	-0,002553
0,445000	7,577743	0,012771	0,002081	0,010187
0,450000	7,582841	2,934925E-5	0,007177	-0,002553
0,455000	7,577743	0,015319	0,009725	0,007639
0,460000	7,582841	0,007674	0,014821	0,002543
0,465000	7,582841	2,934925E-5	0,027560	-0,005101
0,470000	7,575194	0,012771	0,002081	0,007639
0,475000	7,587938	0,002578	0,027560	-0,005101
0,480000	7,580292	0,012771	0,009725	0,007639
0,485000	7,582841	0,007674	0,012273	-4,725590E-6
0,490000	7,582841	0,005126	0,009725	0,002543
0,495000	7,585389	0,005126	0,022465	-4,725590E-6
0,500000	7,580292	0,007674	0,012273	0,002543
0,505000	7,575194	0,010223	0,004629	0,010187
0,510000	7,582841	0,007674	0,009725	-4,725590E-6
0,515000	7,577743	0,012771	0,002081	0,010187
0,520000	7,582841	0,005126	0,022465	-4,725590E-6
0,525000	7,590487	0,002578	0,025012	-0,005101
0,530000	7,580292	0,005126	0,002081	0,002543
0,535000	7,575194	0,012771	0,004629	0,010187
0,540000	7,590487	0,002578	0,030108	0,002543
0,545000	7,582841	0,005126	0,009725	0,002543
0,550000	7,577743	0,012771	0,004629	0,010187
0,555000	7,590487	2,934925E-5	0,027560	-0,002553
0,560000	7,580292	0,007674	0,009725	0,005091
0,565000	7,572645	0,012771	-0,003014	0,007639
0,570000	7,582841	0,007674	0,019917	-4,725590E-6
0,575000	7,587938	0,002578	0,017369	-0,005101
0,580000	7,582841	0,005126	-0,000466	0,002543
0,585000	7,575194	0,010223	0,019917	0,010187
0,590000	7,582841	0,012771	0,004629	0,007639
0,595000	7,587938	0,005126	0,012273	-4,725590E-6
0,600000	7,587938	2,934925E-5	0,017369	-0,005101
0,605000	7,582841	0,007674	0,022465	0,002543
0,610000	7,577743	0,012771	0,004629	0,007639
0,615000	7,585389	0,002578	0,030108	-0,007649
0,620000	7,580292	0,015319	-0,000466	0,007639
0,625000	7,582841	2,934925E-5	0,012273	-4,725590E-6
0,630000	7,582841	0,007674	0,009725	0,002543
0,635000	7,577743	0,015319	0,009725	0,007639
0,640000	7,590487	0,002578	0,019917	-0,002553
0,645000	7,582841	0,007674	0,009725	0,002543
0,650000	7,582841	0,012771	0,009725	0,007639
0,655000	7,587938	0,002578	0,019917	-0,005101
0,660000	7,577743	0,007674	0,004629	0,005091
0,665000	7,585389	0,012771	0,002081	0,007639
0,670000	7,587938	2,934925E-5	0,009725	0,002543
